NO,Sp No,Community,Climate Code,Order,Family,Species,Common name,Body size (g),BS rank,Diet,Diet rank,Locomotor mode,Locomotor rank,Other (reference),,What changed in the dataset,
1,1,FairBank AK,431,Soricomorpha,Soricidae,Sorex_cinereus,Masked shrew,10,1,I,2,T,4,,,No change at all,
1,2,FairBank AK,431,Rodentia,Sciuridae,Glaucomys_sabrinus,northern flying squirrel,185,3,O,3,g,1,50-185 (Nowak 1999; whole genus),,,
1,3,FairBank AK,431,Rodentia,Cricetidae,Myodes_rutilus,northern red-backed vole,65,2,H,6,T,4,,,,
1,4,FairBank AK,431,Lagomorpha,Leporidae,Lepus_americanus,snowshoe hare,2500,5,H,6,T,4,1350-7000 (Nowak 1999; whole genus),,,
1,5,FairBank AK,431,Carnivora,Mustelidae,Mustela_erminea,ermine,170,3,C,1,T,4,42-365 (Nowak 1999),T;Sc;Sa (Nowak 1999),,
1,6,FairBank AK,431,Carnivora,Mustelidae,Neovison_vison,American mink,1350,4,C,1,Sq,5,681-2310 (Nowak 1999),,,
1,7,FairBank AK,431,Carnivora,Mustelidae,Martes_americana,American marten,1000,4,O,3,Sc,3,280-1300 (Nowak 1999),,,
1,8,FairBank AK,431,Carnivora,Canidae ,Vulpes_vulpes,fox,6500,5,C,1,T,4,,,,
2,9,Seward Peninsula AK,433,Soricomorpha,Soricidae,Sorex_cinereus,Masked shrew,10,1,I,2,T,4,,,The locomotor modes follow Nowak 1999 for some species,
2,10,Seward Peninsula AK,433,Soricomorpha,Soricidae,Sorex_arcticus,Arctic shrew,10,1,I,2,T,4,,,,
2,11,Seward Peninsula AK,433,Rodentia,Sciuridae,Spermophilus_undulatus,long-tailed ground squirrel,750,4,I,2,T,4,,,,
2,12,Seward Peninsula AK,433,Rodentia,Muridae,Lemmus_trimucronatus,North American brown lemming,115,2,H,6,T,4,40-112 (Nowak 1999; whole genus),,,
2,13,Seward Peninsula AK,433,Rodentia,Cricetidae,Dicrostonyx_groenlandicus,Bering collared lemming,65,2,H,6,T,4,30-120 (Nowak 1999; whole genus),Sf (Nowak 1999),,
2,14,Seward Peninsula AK,433,Rodentia,Cricetidae,Myodes_rutilus,northern red-backed vole,35,2,H,6,T,4,15-40 (Nowak 1999; whole genus),,,
2,15,Seward Peninsula AK,433,Rodentia,Cricetidae,Microtus_oeconomus,tundra vole,80,2,H,6,T,4,,Sf (Nowak 1999),,
2,16,Seward Peninsula AK,433,Rodentia,Cricetidae,Microtus_miurus,singing vole,57,2,H,6,T,4,,Sf (Nowak 1999),,
2,17,Seward Peninsula AK,433,Rodentia,Cricetidae,Ondatra_zibethicus,muskrat,1800,4,H,6,Sq,5,681-1816 (Nowak 1999),,,
2,18,Seward Peninsula AK,433,Lagomorpha,Leporidae,Lepus_othus,Alaskan hare,4500,5,H,6,T,4,1350-7000 (Nowak 1999; whole genus),,,
2,19,Seward Peninsula AK,433,Carnivora,Mustelidae,Mustela_erminea,erminea,170,3,C,1,T,4,42-365 (Nowak 1999),T;Sc;Sa (Nowak 1999),,
2,20,Seward Peninsula AK,433,Carnivora,Mustelidae,Neovison_vison,American mink,1350,4,C,1,Sq,5,681-2310(Nowak 1999),,,
2,21,Seward Peninsula AK,433,Carnivora,Mustelidae,Vulpes_vulpes,fox,6500,5,C,1,T,4,,,,
3,22,Olympic Peninsula WA,332,Soricomorpha,Soricidae,Sorex_trowbridgii,Trowbridge's shrew,10.5,1,O,3,T,4,Nowak 1999: 206,,,
3,23,Olympic Peninsula WA,332,Soricomorpha,Soricidae,Sorex_monticolus,montane shrew,10.5,1,O,3,T,4,Nowak 1999: 206,,,
3,24,Olympic Peninsula WA,332,Soricomorpha,Soricidae,Sorex_vagrans,Vagrant shrew,10.5,1,O,3,T,4,Nowak 1999: 206,,,
3,25,Olympic Peninsula WA,332,Soricomorpha,Soricidae,Sorex_palustris,American water shrew,10.5,1,O,3,Sq,5,Nowak 1999: 206,,,
3,26,Olympic Peninsula WA,332,Soricomorpha,Soricidae,Sorex_bendirii,Pacific water shrew,10.5,1,O,3,Sq,5,Nowak 1999: 206,,,
3,28,Olympic Peninsula WA,332,Rodentia,Cricetidae,Peromyscus_keeni,northwestern deermouse,62.5,2,O,3,T,4,Nowak 1999: 1362,,,
3,29,Olympic Peninsula WA,332,Rodentia,Cricetidae,Myodes_gapperi,southern red-backed vole,35,2,H,6,T,4,,,,
3,30,Olympic Peninsula WA,332,Rodentia,Cricetidae,Microtus_oregoni,Creeping Vole,18.5,1,H,6,T,4,Nowak 1999: 1473,,,
3,31,Olympic Peninsula WA,332,Rodentia,Cricetidae,Peromyscus_maniculatus,deer mouse,30,1,O,3,Sc,3,,,,
3,32,Olympic Peninsula WA,332,Rodentia,Dipodidae,Zapus_trinotatus,Pacific jumping mouse,15.5,1,G,5,S,8,Nowak 1999: 1331,,,
3,33,Olympic Peninsula WA,332,Rodentia,Sciuridae,Tamias_townsendii,Townsend's chipmunk,106,2,O,3,Sc,3,Nowak 1999: 1248,,,
3,34,Olympic Peninsula WA,332,Soricomorpha,Talpidae,Neurotrichus_gibbsii,American shrew mole,9,1,C,1,F,7,Nowak 1999: 239,,,
3,35,Olympic Peninsula WA,332,Soricomorpha,Talpidae,Scapanus_orarius,coast mole,110,2,C,1,F,7,Nowak 1999: 242,,,
4,36,Charlesvoix Co MI,432,Soricomorpha,Soricidae,Sorex_cinereus,cinereus shrew,10,1,I,2,T,4,,,Locomotor modes follow Nowak 1999,
4,37,Charlesvoix Co MI,432,Soricomorpha,Soricidae,Blarina_brevicauda,northern short-tailed shrew,25,1,I,2,T,4,15-30 (Nowak 1999; whole genus),F (Nowak 1999),Body size of Mephitis follow Nowak 1999,
4,38,Charlesvoix Co MI,432,Rodentia,Sciuridae,Sciurus_niger,eastern fox squirrel,1350,4,O,3,Sc,3,200-1000 (Nowak 1999; whoe genus),A (Nowak 1999),,
4,39,Charlesvoix Co MI,432,Rodentia,Sciuridae,Sciurus_carolinensis,eastern gray squirrel,600,4,O,3,Sc,3,200-1000 (Nowak 1999; whoe genus),A (Nowak 1999),,
4,40,Charlesvoix Co MI,432,Rodentia,Sciuridae,Tamias_striatus,eastern chipmunk,130,3,O,3,Sc,3,70-142 (Nowak 1999),,,
4,41,Charlesvoix Co MI,432,Rodentia,Sciuridae,Tamiasciurus_hudsonicus,American red squirrel,240,3,G,4,Sc,3,,,,
4,42,Charlesvoix Co MI,432,Rodentia,Sciuridae,Glaucomys_volans,southern flying squirrel,65,2,O,3,g,1,50-185 (Nowak 1999; whole genus),,,
4,43,Charlesvoix Co MI,432,Rodentia,Sciuridae,Glaucomys_sabrinus,northern flying squirrel,185,3,O,3,g,1,50-185 (Nowak 1999; whole genus),,,
4,44,Charlesvoix Co MI,432,Rodentia,Cricetidae,Peromyscus_maniculatus,deer mouse,30,1,O,3,Sc,3,15-110 (Nowak 1999; whoe genus),,,
4,45,Charlesvoix Co MI,432,Rodentia,Cricetidae,Peromyscus_leucopus,white-footed mouse,20,1,O,3,Sc,3,15-110 (Nowak 1999; whoe genus),,,
4,46,Charlesvoix Co MI,432,Rodentia,Cricetidae,Myodes_gapperi,southern red-backed vole,35,2,H,6,T,4,15-40 (Nowak 1999; whole genus),,,
4,47,Charlesvoix Co MI,432,Rodentia,Dipodidae,Napaeozapus_insignis,woodland jumping mouse,30,1,O,3,T,4,17-26 (Nowak 1999),S (Nowak 1999),,
4,48,Charlesvoix Co MI,432,Lagomorpha,Leporidae,Lepus_americanus,snowshoe hare,2500,5,H,6,T,4,1350-7000 (Nowak 1999; whole genus),,,
4,49,Charlesvoix Co MI,432,Lagomorpha,Leporidae,Sylvilagus_floridanus,eastern cottontail,1800,4,H,6,T,4,246-2700 (Nowak 1999),,,
4,50,Charlesvoix Co MI,432,Carnivora,Mephitidae,Mephitis_mephitis,striped skunk,6500,5,O,3,T,4,700-2500 (Nowak 1999),,,
4,51,Charlesvoix Co MI,432,Carnivora,Mustelidae,Neovison_vison,American mink,1350,4,C,1,Sq,5,681-2310 (Nowak 1999),,,
4,52,Charlesvoix Co MI,432,Carnivora,Mustelidae,Martes_americana,American marten,1000,4,O,3,Sc,3,280-1300 (Nowak 1999),,,
4,53,Charlesvoix Co MI,432,Carnivora,Mustelidae,Martes_pennanti,fisher,1200,4,C,1,Sc,3,1.3-5.5kg (Nowak 1999),,,
4,54,Charlesvoix Co MI,432,Carnivora,Canidae,Vulpes_vulpes,fox,6500,5,C,1,T,4,,,,
4,55,Charlesvoix Co MI,432,Carnivora,Canidae,Urocyon_cinereoargenteus,gray fox ,6000,5,C,1,T,4,,,,
5,56,Warren Woods MI,432,Didelphimorphia,Didelphidae,Didelphis_virginiana,virginia opossum,6000,5,O,3,Sc,3,0.5-5.5 kg (Nowak 1999; whole genus),,What changed in the dataset,
5,57,Warren Woods MI,432,Soricomorpha,Soricidae,Sorex_cinereus,cinereus shrew,10,1,I,2,T,4,,,The locomotor mode is followed Nowak 1999,
5,58,Warren Woods MI,432,Soricomorpha,Soricidae,Blarina_brevicauda,northern short-tailed shrew,25,1,I,2,T,4,15-30 (Nowak 1999; whole genus),F (Nowak 1999),,
5,59,Warren Woods MI,432,Soricomorpha,Talpidae,Scalopus_aquaticus,eastern mole,140,2,I,2,F,7,,,,
5,60,Warren Woods MI,432,Rodentia,Sciuridae,Sciurus_niger,eastern fox squirrel,1350,4,O,3,Sc,3,200-1000 (Nowak 1999; whoe genus),A (Nowak 1999),,
5,61,Warren Woods MI,432,Rodentia,Sciuridae,Sciurus_carolinensis,eastern gray squirrel,600,4,O,3,Sc,3,200-1000 (Nowak 1999; whoe genus),A (Nowak 1999),,
5,62,Warren Woods MI,432,Rodentia,Sciuridae,Tamias_striatus,eastern chipmunk,130,3,O,3,Sc,3,70-142 (Nowak 1999),,,
5,63,Warren Woods MI,432,Rodentia,Sciuridae,Tamiasciurus_hudsonicus,American red squirrel,240,3,G,4,Sc,3,,,,
5,64,Warren Woods MI,432,Rodentia,Sciuridae,Glaucomys_volans,southern flying squirrel,65,2,O,3,g,1,50-185 (Nowak 1999; whole genus),,,
5,65,Warren Woods MI,432,Rodentia,Sciuridae,Marmota_monax,woodchuck,4500,5,H,6,T,4,3-7.5kg (Nowak 1999),,,
5,66,Warren Woods MI,432,Rodentia,Cricetidae,Peromyscus_leucopus,white-footed mouse,20,1,O,3,Sc,3,15-110 (Nowak 1999; whoe genus),,,
5,67,Warren Woods MI,432,Rodentia,Cricetidae,Microtus_pinetorum,woodland vole,35,2,H,6,T,4,,Sf (Nowak 1999),,
5,68,Warren Woods MI,432,Lagomorpha,Leporidae,Lepus_americanus,snowshoe hare,2500,5,H,6,T,4,1350-7000 (Nowak 1999; whole genus),,,
5,69,Warren Woods MI,432,Lagomorpha,Leporidae,Sylvilagus_floridanus,eastern cottontail,1800,4,H,6,T,4,246-2700 (Nowak 1999; whole genus),,,
5,70,Warren Woods MI,432,Carnivora,Mustelidae,Neovison_vison,American mink,1350,4,C,1,Sq,5,681-2310 (Nowak 1999),,,
5,71,Warren Woods MI,432,Carnivora,Mustelidae,Mustela_frenata,long-tailed weasel,340,3,C,1,T,4,85-340 (Nowak 1999),,,
5,72,Warren Woods MI,432,Carnivora,Canidae,Vulpes_vulpes,fox,6500,5,C,1,T,4,,,,
5,73,Warren Woods MI,432,Carnivora,Canidae,Urocyon_cinereoargenteus,gray fox ,6000,5,C,1,T,4,,,,
6,74,Wirlwind Valley,222,Rodentia,Heteromyidae,Perognathus_parvus,Great Basin pocket mouse,17.5,1,G,4,F,7,Nowak 1999: 1322,,,
6,75,Wirlwind Valley,222,Rodentia,Heteromyidae,Dipodomys_microps,Chisel-toothed kangaroo rat,107.5,2,O,3,S,8,Nowak 1999: 1326,,,
6,76,Wirlwind Valley,222,Rodentia,Heteromyidae,Dipodomys_ordii,Ord's kangaroo rat,107.5,2,O,3,S,8,Nowak 1999: 1326,,,
6,77,Wirlwind Valley,222,Rodentia,Cricetidae,Peromyscus_maniculatus,Deer mouse,1.75,1,O,3,?T,4,Nowak 1999: 1362,,,
6,78,Wirlwind Valley,222,Rodentia,Cricetidae,Onychomys_leucogaster,northern grasshopper mouse,45,2,C,1,T,4,Nowak 1999: 1357,,,
6,79,Wirlwind Valley,222,Rodentia,Cricetidae,Reithrodontomys_megalotis,western harvest mouse,13,1,G,4,Sc,3,Nowak 1999:1364,,,
6,80,Wirlwind Valley,222,Rodentia,Cricetidae,Microtus_montanus,montane vole,27,1,H,6,Sf ,6,Nowak 1999: 1473; (Sera and Early 2003),,,
6,81,Wirlwind Valley,222,Rodentia,Sciuridae,Ammospermophilus_leucurus,White-tailed antelope squirrel,120.5,2,O,3,T,4,Nowak 1999: 1253,,,
6,82,Wirlwind Valley,222,Rodentia,Sciuridae,Tamias_minimus,Least chipmunk,106,2,O,3,T,4,Nowak 1999: 1248,,,
6,83,Wirlwind Valley,222,Rodentia,Sciuridae,Sorex_vagrans,Vagrant shrew,10.05,1,I,2,T,4,Nowak 1999: 206,,,
7,84,"Herdade da Mitra, E_vora,  PT",311,Rodentia,Muridae,Apodemus_sylvaticus,Wood mouse,32.5,2,O,3,Sc,3,Nowak 1999: 1500,,,
7,85,"Herdade da Mitra, E_vora,  PT",311,Rodentia,Muridae,Mus_spretus,western Mediterranean mouse,32.5,2,O,3,T,4,PALOMO et al 2009,,,
7,86,"Herdade da Mitra, E_vora,  PT",311,Soricomorpha,Soricidae,Crocidura_russula,Greater white-toothed shrew,9,1,I,2,T ,4,Nowak 1999: 221; (Kingdon et a 201: 129),,,
8,87,Fort AP Hill VA,331,Soricomorpha,Soricidae,Sorex_longirostris,Long-tailed shrew,10.05,1,C,1,T,4,Nowak 1999,Grodon and Layne 1989. Advances in the Study of Peromyscus (Rodentia),,
8,88,Fort AP Hill VA,331,Soricomorpha,Soricidae,Sorex_hoyi,,10.05,1,C,1,T,4,,,,
8,89,Fort AP Hill VA,331,Soricomorpha,Soricidae,Blarina_brevicauda,Asiatic short-tailed shrew,25,1,I,2,T,4,,,,
8,90,Fort AP Hill VA,331,Soricomorpha,Soricidae,Cryptotis_parva,small-eared shrew,5.5,1,C,1,T,4,Nowak 1999: 209,,,
8,91,Fort AP Hill VA,331,Rodentia,Cricetidae,Reithrodontomys_humulis,American harvest mouse,13,1,G,4,Sc,3,Nowak 1999: 1365,,,
8,92,Fort AP Hill VA,331,Rodentia,Cricetidae,Peromyscus_leucopus,White-footed mouse,,1,O,3,Sc,3,Lackey et al 1985,,,
8,93,Fort AP Hill VA,331,Rodentia,Cricetidae,Microtus_pennsylvanicus,vole,49,2,H,6,T,4,Nowak 1999: 1473,,,
8,94,Fort AP Hill VA,331,Rodentia,Cricetidae,Microtus_pinetorum,woodland vole,35,2,H,6,T,4,,,,
8,95,Fort AP Hill VA,331,Rodentia,Dipodidae,Zapus_hudsonius,meadow jumping mouse,16.5,1,O,3,S,8,Nowak 1999: 1331,,,
9,96,GPS Mt Qilian,333,Lagomorpha,Ochotonidae ,Ochotona_daurrica,Daurian pika ,109,2,H,6,T,4,Nowak 1999: 1718,,,
9,97,GPS Mt Qilian,333,Lagomorpha,Ochotonidae ,Ochotona_thibetana,,83.1,2,H,6,T,4,Nowak 1999: 1718,The geographic area is large so I assume is over the home ranges of those small mammals. The individual number is the number of capture since three sites are distant from each other,,
9,98,GPS Mt Qilian,333,Lagomorpha,Ochotonidae ,Ochotona_erythrotis,,181,3,H,6,T,4,Nowak 1999: 1718,,,
9,99,GPS Mt Qilian,333,Rodentia,Sciuridae,Spermophilus_dauricus,Ground Squirrel,161.3,3,O,3,T,4,Nowak 1999: 1256,,,
9,100,GPS Mt Qilian,333,Rodentia,Sciuridae,Tamias_sibiricus,Chpmunks,90.3,2,O,3,Sc,3,Nowak 1999: 1249,,,
9,101,GPS Mt Qilian,333,Rodentia,Muridae,Cricetulus_barabensis,,24.8,1,G,4,Sf,6,Nowak 1999: 1422,,,
9,102,GPS Mt Qilian,333,Rodentia,Muridae,Cricetulus_longicaudatus,,22.1,1,G,4,Sf,6,Nowak 1999: 1422,,,
9,103,GPS Mt Qilian,333,Rodentia,Muridae,Alticola_roylei,High Mountain Vole,22.6,1,H,6,T,4,Nowak 1999: 1463,,,
9,104,GPS Mt Qilian,333,Rodentia,Muridae,Apodemus_agrarius,,25.1,1,O,3,Sc,3,Nowak 1999: 1500,,,
9,105,GPS Mt Qilian,333,Rodentia,Muridae,Apodemus_speciosus,,33.8,2,O,3,Sc,3,Nowak 1999: 1500,,,
9,106,GPS Mt Qilian,333,Rodentia,Muridae,Mus_musculus,,14.6,1,I,2,T,4,Nowak 1999: 1607,,,
9,107,GPS Mt Qilian,333,Rodentia,Cricetidae,Microtus_oeconomus,,23.6,1,H,6,T,4,,,,
10,108,XPS Mt Qilian,333,Lagomorpha,Ochotonidae ,Ochotona_daurrica,Daurian pika ,109,2,H,6,T,4,Nowak 1999: 1718,,,
10,109,XPS Mt Qilian,333,Lagomorpha,Ochotonidae ,Ochotona_thibetana,,83.1,2,H,6,T,4,Nowak 1999: 1718,The geographic area is large so I assume is over the home ranges of those small mammals. The individual number is the number of capture since three sites are distant from each other,,
10,110,XPS Mt Qilian,333,Rodentia,Muridae,Cricetulus_migratorius,Ratlike Hamster,38.5,2,G,4,Sf,6,Nowak 1999: 1422,,,
10,111,XPS Mt Qilian,333,Rodentia,Muridae,Cricetulus_barabensis,,24.8,1,G,4,Sf,6,Nowak 1999: 1422,,,
10,112,XPS Mt Qilian,333,Rodentia,Muridae,Cricetulus_longicaudatus,,22.1,1,G,4,Sf,6,Nowak 1999: 1422,,,
10,113,XPS Mt Qilian,333,Rodentia,Cricetidae,Microtus_oeconomus,,23.6,1,H,6,T,4,,,,
10,114,XPS Mt Qilian,333,Rodentia,Muridae,Meriones_meridianus,Jird,62.1,2,H,6,Sf,6,Nowak 1999: 1456,,,
10,115,XPS Mt Qilian,333,Rodentia,Dipodidae,Dipus_sagitta,Northern three-toed jerbora,82.3,2,H,6,S,8,Nowak 1999: 1338,,,
10,116,XPS Mt Qilian,333,Rodentia,Dipodidae,Allactaga_sibirica,Five-toed jerboa,97.5,2,I,2,S,8,Nowak 1999: 1342,,,
10,117,XPS Mt Qilian,333,Rodentia,Dipodidae,Cardiocranius_paradoxus,Five-toed dwarf jerboa,8.6,1,G,4,S,8,Nowak 1999: 1333,,,
11,118,JPS Mt Qilian,333,Lagomorpha,Ochotonidae ,Ochotona_daurrica,Daurian pika ,109,2,H,6,T,4,Nowak 1999: 1718,,,
11,119,JPS Mt Qilian,333,Lagomorpha,Ochotonidae ,Ochotona_thibetana,,83.1,2,H,6,T,4,Nowak 1999: 1718,The geographic area is large so I assume is over the home ranges of those small mammals. The individual number is the number of capture since three sites are distant from each other,,
11,120,JPS Mt Qilian,333,Rodentia,Muridae,Cricetulus_migratorius,Ratlike Hamster,38.5,2,G,4,Sf,6,Nowak 1999: 1422,,,
11,121,JPS Mt Qilian,333,Rodentia,Muridae,Cricetulus_barabensis,,24.8,1,G,4,Sf,6,Nowak 1999: 1422,,,
11,122,JPS Mt Qilian,333,Rodentia,Muridae,Alticola_roylei,High Mountain Vole,22.6,1,H,6,T,4,Nowak 1999: 1463,,,
11,123,JPS Mt Qilian,333,Rodentia,Muridae,Mus_musculus,,14.6,1,I,2,T,4,Nowak 1999: 1607,,,
11,124,JPS Mt Qilian,333,Rodentia,Muridae,Meriones_meridianus,Jird,62.1,2,H,6,Sf,6,Nowak 1999: 1456,,,
11,125,JPS Mt Qilian,333,Rodentia,Dipodidae,Dipus_sagitta,Northern three-toed jerbora,82.3,2,H,6,S,8,Nowak 1999: 1338,,,
11,126,JPS Mt Qilian,333,Rodentia,Dipodidae,Allactaga_sibirica,Five-toed jerboa,97.5,2,I,2,S,8,Nowak 1999: 1342,,,
12,127,Ningxia CHN,312,Rodentia,Cricetidae ,Eothenomys_melanogaster,Pratt's vole,27.5,1,H,6,F,7,Nowak 1999: 1462,"(Yom-Tov and Yom-Tov, 2004)",Smith et al 2010: A guide to the mammals of China,
12,128,Ningxia CHN,312,Rodentia,Cricetidae ,Cricetulus_longicaudatus,Long-tailed dwarf hamster ,31.5,1,H,6,F,7,Nowak 1999: 1422,,,
12,129,Ningxia CHN,312,Rodentia,Cricetidae ,Tscherskia_triton,Greater long-tailed hamster ,166.5,3,G ,4,F,7,Nowak 1999: 1422,(Smith et al 2010: 247),,
12,130,Ningxia CHN,312,Rodentia,Muridae ,Apodemus_agrarius,Striped field mouse ,32.5,2,O,3,Sc,3,Nowak 1999: 1500,,,
12,131,Ningxia CHN,312,Rodentia,Muridae ,Apodemus_peninsulae,Korean field mouse ,32.5,2,O,3,Sc,3,Nowak 1999: 1500,,,
12,132,Ningxia CHN,312,Rodentia,Muridae ,Apodemus_draco,,32.5,2,O,3,Sc,3,Nowak 1999: 1500,,,
12,133,Ningxia CHN,312,Rodentia,Muridae ,Mus_musculus,House mouse ,21,1,I,2,T,4,Nowak 1999: 1607,,,
12,134,Ningxia CHN,312,Rodentia,Muridae ,Niviventer_confucianus,Confucian niviventer ,65,2,O,3,T,4,Nowak 1999: 1573,,,
12,135,Ningxia CHN,312,Rodentia,Muridae ,Rattus_rattus,Roof rat ,142.5,3,O,3,Sc,3,Nowak 1999: 1519,,,
12,136,Ningxia CHN,312,Rodentia,Dipodidae ,Eozapus_setchuanus,Chinese jumping mouse ,17.5,1,H,6,S,8,Nowak 1999: 1332,"Smith and Xie, 2013: 98)",,
12,137,Ningxia CHN,312,Rodentia,Dipodidae ,Dipus_sagitta,Northern three-toed jerboa ,90,2,O,3,S,8,Nowak 1999: 1338,,,
12,138,Ningxia CHN,312,Rodentia,Dipodidae ,Allactaga_sibirica,Mongolian five-toed jerboa ,117.5,2,I,2,S,8,Nowak 1999: 1342,,,
12,139,Ningxia CHN,312,Rodentia,Sciuridae ,Spermophilus_dauricus,Alashan/Daurian ground squirrel ,542.5,4,O,3,T,4,Nowak 1999: 1256,,,
12,140,Ningxia CHN,312,Rodentia,Spalacidae ,Eospalax_fontanierii,Chinese zokor ,385,3,H,6,F,7,Smith and Xie 2013:100,,,
12,141,Ningxia CHN,312,Lagomorpha,Ochotonidae ,Ochotona_dauurica,Daurian pika ,262.5,3,H,6,Sf,6,Nowak 1999: 1718,,,
12,142,Ningxia CHN,312,Lagomorpha,Ochotonidae ,Ochotona_huangensis,Tsing-Ling pika ,262.5,3,H,6,T,4,Nowak 1999: 1718,,,
12,143,Ningxia CHN,312,Eulipotyphla,Soricidae ,Sorex_cylindricauda,Stripe-backed shrew ,10.05,1,I,2,T,4,Nowak 1999: 207,,,
13,144,Great Smoky Mountain TN,331,Didelphimorphia,Didelphidae,Didelphis_virginiana,virginia opossum,6000,5,O,3,Sc,3,0.5-5.5 kg (Nowak 1999; whole genus),,The locomotor mode is followed Nowak 1999,
13,145,Great Smoky Mountain TN,331,Soricomorpha,Soricidae,Sorex_cinereus,cinereus shrew,10,1,I,2,T,4,,,,
13,146,Great Smoky Mountain TN,331,Soricomorpha,Soricidae,Sorex_fumeus,smoky shrew,10,1,I,2,T,4,,,,
13,147,Great Smoky Mountain TN,331,Soricomorpha,Soricidae,Blarina_brevicauda,northern short-tailed shrew,25,1,I,2,T,4,15-30 (Nowak 1999; whole genus),F (Nowak 1999),,
13,148,Great Smoky Mountain TN,331,Soricomorpha,Talpidae,Parascalops_breweri,hairy-tailed mole,65,2,I,2,F,7,,,,
